,moods_states,features
iso29,"[[25], [19]]",[null]
iso16,"[[21], [3], [13]]","[[0.969, 0.388, 0.0859, 7.35e-05, 7, 0.108, -16.061, 0, 0.0472, 88.253, 0.19], [0.978, 0.367, 0.111, 3.97e-05, 4, 0.0897, -14.084, 1, 0.0972, 82.642, 0.198], [0.966, 0.513, 0.183, 0, 2, 0.327, -10.249, 1, 0.0407, 107.18, 0.266], [0.398, 0.668, 0.547, 0.0766, 1, 0.0931, -8.024, 1, 0.0353, 83.5, 0.192], [0.853, 0.794, 0.32, 0.134, 1, 0.112, -12.92, 0, 0.173, 174.088, 0.241], [0.0863, 0.801, 0.589, 0, 7, 0.162, -5.157, 1, 0.0485, 116.934, 0.58], [0.196, 0.673, 0.704, 0, 6, 0.0898, -8.056, 1, 0.36, 86.919, 0.372], [0.125, 0.708, 0.637, 0, 4, 0.129, -5.795, 1, 0.0833, 104.118, 0.862], [0.00502, 0.551, 0.836, 2.1e-05, 10, 0.0425, -3.838, 0, 0.0524, 185.063, 0.758], [0.0615, 0.647, 0.853, 0, 8, 0.062, -4.516, 1, 0.0904, 103.846, 0.618]]"
iso12,"[[2], [1], [24]]","[[0.186, 0.548, 0.532, 0.000263, 5, 0.217, -7.596, 1, 0.0323, 85.03, 0.405], [0.283, 0.726, 0.444, 0.143, 8, 0.177, -8.922, 0, 0.372, 185.044, 0.569], [0.192, 0.695, 0.762, 0.00244, 0, 0.0863, -3.497, 1, 0.0395, 120.042, 0.553], [0.223, 0.815, 0.518, 0, 7, 0.104, -6.594, 0, 0.0897, 151.891, 0.877], [0.395, 0.575, 0.714, 0, 6, 0.115, -5.247, 1, 0.0596, 144.982, 0.32], [0.201, 0.818, 0.623, 0, 9, 0.112, -5.901, 0, 0.043, 120.104, 0.968], [0.297, 0.782, 0.512, 3.24e-05, 4, 0.0979, -8.103, 1, 0.0324, 94.98, 0.658], [0.135, 0.569, 0.86, 0, 9, 0.153, -4.116, 1, 0.043, 90.937, 0.289], [0.808, 0.524, 0.364, 0, 7, 0.1, -10.209, 1, 0.0367, 75.24, 0.436], [0.653, 0.386, 0.205, 0.0448, 4, 0.106, -16.699, 1, 0.0366, 172.373, 0.623]]"
iso14,"[[8], [7], [20]]","[[0.262, 0.696, 0.686, 0, 5, 0.174, -6.113, 0, 0.0309, 115.982, 0.7], [0.0372, 0.697, 0.683, 0, 1, 0.137, -2.881, 0, 0.117, 96.133, 0.603], [0.0336, 0.756, 0.851, 0, 2, 0.126, -3.33, 1, 0.0674, 75.014, 0.934], [0.0561, 0.695, 0.884, 0, 6, 0.213, -2.278, 0, 0.0753, 103.014, 0.914], [0.485, 0.534, 0.542, 0, 4, 0.353, -6.075, 1, 0.0569, 126.011, 0.532], [0.411, 0.847, 0.386, 0.00176, 9, 0.108, -10.668, 0, 0.0507, 104.001, 0.178], [0.864, 0.528, 0.273, 0.00617, 0, 0.111, -16.623, 1, 0.132, 98.311, 0.158], [0.963, 0.622, 0.246, 0.363, 6, 0.102, -17.574, 0, 0.0339, 122.986, 0.176], [0.967, 0.596, 0.261, 0.00454, 7, 0.112, -13.778, 1, 0.0335, 125.329, 0.62], [0.832, 0.642, 0.15, 0, 0, 0.126, -11.316, 1, 0.0351, 104.978, 0.27]]"
iso27,"[[10], [25]]",[null]
iso25,"[[21], [25]]",[null]
iso24,"[[21], [10]]",[null]
iso20,"[[4], [15], [20]]","[[0.948, 0.571, 0.0274, 6.43e-06, 9, 0.322, -20.274, 0, 0.0649, 124.209, 0.087], [0.88, 0.512, 0.255, 0.532, 0, 0.146, -15.867, 1, 0.0291, 115.144, 0.215], [0.915, 0.456, 0.113, 0.0011, 2, 0.0959, -15.763, 0, 0.0334, 108.536, 0.327], [0.969, 0.545, 0.366, 0.267, 2, 0.641, -9.51, 1, 0.0378, 86.997, 0.1], [0.528, 0.408, 0.363, 0.0538, 2, 0.0868, -13.949, 1, 0.0284, 131.249, 0.212], [0.828, 0.504, 0.235, 0.00719, 5, 0.127, -16.55, 1, 0.0271, 139.833, 0.231], [0.744, 0.569, 0.291, 0, 0, 0.137, -14.509, 1, 0.043, 151.659, 0.313], [0.975, 0.462, 0.203, 0.113, 10, 0.102, -16.313, 1, 0.0355, 153.716, 0.437], [0.0833, 0.646, 0.839, 0, 2, 0.315, -8.178, 1, 0.0332, 109.854, 0.834], [0.805, 0.457, 0.407, 0.884, 9, 0.126, -11.475, 1, 0.0308, 117.053, 0.126]]"
iso13,"[[18], [3], [8]]","[[0.932, 0.433, 0.329, 0.0474, 3, 0.1, -13.288, 1, 0.0343, 102.971, 0.264], [0.902, 0.704, 0.225, 0.657, 6, 0.106, -14.454, 0, 0.0994, 120.006, 0.243], [0.896, 0.61, 0.0316, 0.00461, 9, 0.108, -15.186, 1, 0.0486, 151.964, 0.37], [0.573, 0.803, 0.384, 0, 7, 0.194, -6.522, 1, 0.179, 141.926, 0.503], [0.195, 0.61, 0.788, 0.0142, 0, 0.153, -5.724, 1, 0.0585, 101.045, 0.472], [0.617, 0.676, 0.525, 0, 9, 0.356, -5.88, 1, 0.028, 112.011, 0.421], [0.875, 0.582, 0.272, 0, 2, 0.13, -5.662, 1, 0.0501, 205.846, 0.354], [0.139, 0.703, 0.657, 0, 4, 0.093, -5.363, 1, 0.0783, 82.96, 0.455], [0.0178, 0.672, 0.738, 6.75e-05, 0, 0.0927, -7.045, 1, 0.0506, 107.938, 0.392], [0.00801, 0.856, 0.609, 8.15e-05, 0, 0.0344, -7.223, 1, 0.0824, 114.988, 0.928]]"
iso21,"[[27], [10]]","[[0.942, 0.252, 0.314, 0.676, 5, 0.0892, -18.197, 0, 0.0407, 75.056, 0.2], [0.924, 0.517, 0.206, 0, 5, 0.118, -12.233, 1, 0.0421, 80.401, 0.489], [0.91, 0.574, 0.322, 0.519, 9, 0.0836, -12.41, 1, 0.0264, 81.603, 0.178], [0.827, 0.369, 0.403, 0.0541, 3, 0.106, -7.996, 1, 0.0259, 154.899, 0.177], [0.774, 0.652, 0.545, 0.0428, 1, 0.0847, -9.021, 1, 0.0358, 107.019, 0.626], [0.168, 0.661, 0.643, 0.0034, 0, 0.0966, -7.655, 1, 0.0319, 148.994, 0.36], [0.0599, 0.74, 0.642, 3.71e-05, 9, 0.802, -6.805, 1, 0.0291, 130.03, 0.591], [0.00575, 0.862, 0.4, 7.49e-06, 4, 0.123, -7.486, 1, 0.0736, 122.963, 0.596], [0.102, 0.644, 0.715, 0, 0, 0.0845, -6.132, 1, 0.0605, 160.051, 0.665], [0.691, 0.936, 0.353, 2.73e-05, 11, 0.133, -12.17, 1, 0.0458, 124.964, 0.863]]"
